source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count
61,6,1.976277803481263,0.22787533391472395,104.48607857142856,174.38571428571427,1.0,70
61,25,2.7695872728031263,1.4580495551136021,113.92327532467532,274.68831168831167,1.0,77
61,68,1.99392365570937,0.06187261862837752,36.503,60.285714285714285,1.0,14
61,70,2.3990361490361494,0.7598240768473311,55.2107,120.66666666666667,1.0,3
61,408,3.3393508198556625,9.606812222863473,59.497475,226.0,1.0,4
61,409,1.6981246363572802,0.024814330269584236,107.63749803921569,160.23529411764707,1.0,51
61,410,2.7730344385476005,0.8235835883742937,82.451465,254.8,0.9,20
61,411,1.7385923540502843,0.17456335440598547,101.32219333333333,191.06666666666666,0.8333333333333334,30
62,6,1.8213025800809584,0.042709978908339254,104.55771714285714,158.45714285714286,1.0,35
62,68,2.218935574229692,0.008535969681990436,36.337783333333334,65.83333333333333,1.0,6
62,409,1.703530657664714,0.016397277379911954,103.91807619047619,156.14285714285714,1.0,21
62,410,2.1245286825036103,0.6841974864395063,84.52118,204.0,0.8,5
62,411,1.4503199709278685,0.08154229470643906,106.5765,168.07692307692307,0.8461538461538461,13
63,65,1.9948400412796696,0.13011083527430853,21.276433333333333,35.0,1.0,3
63,66,2.0620915032679736,0.05999829125549998,21.5574,36.0,1.0,2
64,69,2.857142857142857,0.04081632653061221,34.342999999999996,73.0,1.0,2
64,70,1.9636019608504773,0.1769379831272644,52.669541379310346,90.72413793103448,1.0,29
65,70,1.6911976911976911,0.012168687493362819,23.590766666666667,36.666666666666664,1.0,3
66,72,1.0351897204806688,0.004947460531811423,21.787475,32.0,0.0,4
67,66,2.65807763902476,0.09257964155570253,97.31484285714285,183.14285714285714,1.0,7
68,73,3.0226587424672102,2.1547728638535197,34.70575,90.0,0.75,4
69,65,3.6165884590172444,1.4834696244155827,32.90025,93.0,1.0,6
70,75,2.2163736146632567,0.02457093335893421,28.298310000000004,43.7,1.0,10
70,81,2.023015873015873,0.02738809103888472,36.294725,54.75,1.0,4
71,79,2.1030038230565107,0.45349696738297035,59.8206703125,101.59375,0.9375,64
72,81,2.843431467304528,0.06743878716534858,59.39446,125.6,1.0,20
73,77,2.065927161979794,0.30375987592951664,45.487883333333336,65.0,1.0,24
74,63,2.451603349673203,0.18946375542659877,40.4696875,71.0,1.0,8
75,78,1.6437263437263439,0.228894912057304,11.994925225225225,16.207207207207208,0.8468468468468469,111
76,6,1.641853110658509,0.47412814458019314,67.66455697368421,105.44868421052631,0.8131578947368421,760
76,25,2.73357999459418,0.3467034826422022,34.71065333333333,96.43333333333334,1.0,30
76,60,1.6375036439865633,0.01757833027203877,46.45601666666667,68.16666666666667,1.0,12
76,64,2.0246550589599996,0.28439802760225236,32.222025,73.35,1.0,20
76,84,3.4643895530992306,3.8663776461115695,45.18013333333334,136.66666666666666,1.0,6
76,90,1.8562405111551314,0.0654185334957409,81.21031960784315,116.47058823529412,1.0,102
76,135,1.7204298788768873,0.10685754022121068,106.29576916666666,129.33333333333334,1.0,240
76,171,2.1130058705291535,0.2012549144604702,51.25522962962963,81.51851851851852,1.0,27
76,247,1.7244865715123787,0.2933097670627839,120.61194736842106,172.60526315789474,0.9802631578947368,152
76,249,1.4581676098425038,0.18513264938465016,104.2427880952381,136.3968253968254,0.7222222222222222,126
76,270,1.719147280226074,0.031931885002005056,90.24431,146.13333333333333,1.0,30
76,271,1.742033448991165,0.04490630230876989,90.26003666666666,149.0222222222222,0.9888888888888889,90
76,273,1.430864518378287,0.10255513160143981,147.89733333333334,225.55555555555554,0.7777777777777778,18
76,274,1.5510381100468176,0.1084783803974869,147.72351111111112,239.22222222222223,0.8888888888888888,9
76,277,2.432085299530504,0.26967773238334564,111.0042,245.0,1.0,7
76,278,1.945185506964157,0.0273785885624675,64.82263333333333,103.33333333333333,1.0,3
76,279,5.625,,89.7878,405.0,1.0,1
76,280,2.9545454545454546,,24.9115,65.0,1.0,1
76,281,3.5771737521737523,0.31058658853777604,33.436816666666665,106.83333333333333,1.0,6
76,282,1.8189418766400627,0.09786928594642964,72.10205952380953,115.28571428571429,0.9761904761904762,42
77,64,1.6597701149425288,0.010823094200026423,34.7797,62.0,1.0,2
78,79,2.9612557033609668,0.10086303056757531,43.33078333333333,90.5,1.0,6
