node,in_degree,out_degree,betweenness,pagerank
224.0,1,1,0.00011088834478882673,0.00035900374947830347
304.0,6,1,0.005717776148842342,0.0013738537474458363
225.0,1,1,0.0012968146988958371,0.00022805823514447556
227.0,1,1,5.744817862553674e-05,0.00016568898754863178
228.0,1,1,0.0008586053363568592,0.0001506567472287948
230.0,1,2,0.0004769534830073632,0.00013687733503226656
231.0,2,1,0.0,0.0010643326094954043
232.0,1,1,0.0,0.0006666666666666665
233.0,1,1,0.0,0.0006666666666666666
716.0,1,1,0.0028162967568053825,0.000244254591295764
235.0,1,1,0.0,0.0006666666666666666
236.0,1,3,0.0,0.00013976388145074125
238.0,1,1,4.898681898301582e-06,0.00012869536934711015
314.0,1,2,0.006580711128291135,0.00018545327212978916
316.0,2,1,0.0,0.0013402220721453425
240.0,1,1,8.906694360548332e-06,0.00020939106394583806
242.0,1,2,5.655750918948191e-05,0.00032665905559401277
241.0,1,2,0.0,0.0001498938952800875
246.0,3,1,1.1133367950685415e-05,0.0017116412683258696
256.0,10,7,0.007627062159523054,0.003998493638673179
243.0,1,1,0.0,0.0005112527424824655
244.0,2,1,0.000499739776079766,0.0010058296150061033
286.0,2,1,0.0005317296533247354,0.0013056219056466925
245.0,1,2,0.0005010015577808437,0.00020200095556500102
257.0,1,1,5.19557171031986e-07,0.00017546396094995004
294.0,6,1,0.001898461902950877,0.003188041186524213
248.0,1,1,0.00012992640398449878,0.00039598541637601457
250.0,1,1,0.0015016686691884489,0.00033215892230613125
251.0,1,2,0.0010118004793582905,0.0003824826415360988
252.0,1,1,0.0,0.0001615461772390638
253.0,2,1,1.1133367950685415e-05,0.00040603420017017275
254.0,3,2,0.0009512349577065619,0.0016897281410922708
255.0,2,2,0.0,0.0006683564271283496
295.0,3,1,6.45735341139754e-06,0.0014269009234037927
258.0,2,2,0.0005111700338424698,0.0008097144895517381
266.0,1,1,0.0015016686691884489,0.0004005096458031654
261.0,1,1,0.0,0.00020211987075409378
276.0,2,1,1.1133367950685415e-05,0.0003669731982132517
262.0,2,1,2.582941364559016e-05,0.0005728716641397723
263.0,1,1,0.0004974388800366243,0.0004239962473197692
264.0,1,1,2.2712070619398247e-05,0.0004610571359755643
265.0,1,1,0.0009712750200177956,0.0003806115024340121
268.0,1,3,0.0010118004793582905,0.00044062419945261445
267.0,1,1,0.001444220490562912,0.00032943719875560493
269.0,1,2,0.0019452220483437558,0.000383693844054961
272.0,1,1,5.789351334356416e-06,0.0002605180008657842
284.0,1,2,2.3602740055453078e-05,0.0005674954412664267
275.0,1,1,5.388550088131741e-05,0.0012699476071019924
283.0,1,1,0.002409260824528324,0.0003335154715403665
285.0,1,1,1.5920716169480144e-05,0.0004012541717854625
289.0,1,1,4.186146349457716e-05,0.0012105357062046284
287.0,1,1,0.0005026715629734465,0.00035425679643360885
288.0,2,2,0.001237065624227159,0.0005659655036092476
290.0,1,1,2.226673590137083e-06,0.00023768777511550427
291.0,1,1,2.226673590137083e-06,0.00022157104457840352
292.0,1,1,0.0004903135245481856,0.00014299298398401814
293.0,1,1,0.0004903135245481856,0.00016193984059815748
297.0,3,2,0.0014333097899712403,0.0029331783696717947
296.0,1,7,0.0021660833276676865,0.0005339226609150067
298.0,1,3,6.138196863477897e-05,0.00027481042079387864
299.0,1,2,0.004306955762131487,0.0009629080842076079
300.0,2,2,0.004778119893804493,0.0021002737351327435
301.0,1,1,0.005248393356041445,0.0012677876860987284
302.0,1,1,0.0005280927531275115,0.00020565771917925067
303.0,1,2,0.0,0.0001990016904044887
305.0,1,1,0.000993912868184189,0.00012430259974047334
306.0,1,6,0.002977211034919289,0.000179590353218092
307.0,2,2,0.0034645185501207894,0.0003174069825103337
308.0,2,1,0.00391642195523911,0.00022762252415936763
309.0,3,1,0.0028446868450796303,0.0002629649461060557
323.0,1,1,0.0010224885125909484,0.00011969509258011982
310.0,2,2,0.0007632047434283194,0.00027276673204103475
313.0,1,2,1.3805376258849914e-05,0.00015744485514823406
311.0,2,1,0.0028512555321705347,0.0003651895543163826
312.0,1,1,1.3360041540822498e-05,0.00021766956103296965
315.0,1,3,0.006096681771430669,0.00036839833115802454
319.0,1,1,9.352029078575749e-06,0.00023010061365623532
318.0,1,1,0.00654825117551047,0.0003157622135272755
320.0,1,1,8.461359642520916e-06,0.0002955855216078005
321.0,1,1,0.006998929910154215,0.0002538375905105208
322.0,1,1,0.0014379858045105282,0.00019908292448876538
324.0,1,1,0.0074487179753619055,0.00018098524968643468
379.0,1,5,0.013291209051667065,0.0002485886233061946
328.0,1,2,5.344016616329e-06,0.0002376843955903026
329.0,1,1,1.7813388721096663e-05,0.0005292288373938281
331.0,1,5,0.013898080102652623,0.0007388632643051337
333.0,1,2,0.00044310804443727954,0.00019426163122626856
684.0,2,1,0.0008539293218175713,0.0005480698691678783
336.0,1,1,8.016024924493499e-06,0.00011089603673678655
337.0,1,1,1.7813388721096664e-06,0.00010924833201806026
338.0,1,3,0.0006685958566651616,0.00011255872939944288
378.0,1,2,0.0009948777600732488,0.00012456048793505145
381.0,2,2,0.0008352994861134244,0.00019026265046826445
340.0,9,1,0.01867145824203089,0.0023952309795220498
341.0,1,2,1.2617817010776803e-05,0.00011117626279410323
345.0,1,12,0.0003887772088379347,0.0001409459216406097
343.0,1,1,1.2617817010776803e-05,0.00011334271768977954
344.0,1,8,9.32234009737392e-05,0.00011384647318455643
354.0,1,1,2.0040062311233746e-06,0.00011495114231575973
357.0,5,2,0.012800545267828756,0.0017221576199402324
366.0,3,2,0.009971585100220033,0.00017469617770137023
375.0,4,2,0.006015484881925438,0.0008556208470073475
393.0,2,1,0.0006619900583477548,0.00029661370103444007
347.0,1,1,2.226673590137083e-06,0.00010800667353442503
349.0,1,1,1.7071164191050966e-05,0.00010680668809476385
350.0,2,1,0.0008737467167697913,0.0002777529204137607
353.0,2,1,0.00043642802366686826,0.00020058204053448022
355.0,1,1,0.0,0.00011065275379639878
356.0,2,1,0.0004486005059596177,0.00022801782887138495
346.0,1,1,1.7813388721096664e-06,0.00031560710764504856
348.0,1,1,0.000435092019512786,0.0002455246505643224
351.0,2,2,0.003062492633421539,0.0006151407331759149
352.0,1,1,0.000477844152443418,0.00017116061196050084
384.0,1,2,0.0004370960257439094,0.0001977084709683958
358.0,1,2,0.003022041396534049,0.0004483250949659664
392.0,3,1,0.005309280508322861,0.0006474724409591095
359.0,1,1,8.906694360548332e-07,0.0001394515864613393
360.0,3,1,0.03359040916123919,0.0016789188563208987
382.0,1,2,0.03354765702830856,0.0015284647631998813
361.0,1,4,0.0,0.00013149016458891672
362.0,1,2,8.951227832351074e-05,0.00012984841292080956
427.0,2,1,9.018028040055187e-05,0.00016842406620259215
363.0,1,1,0.01091900608416292,0.0012670883970026267
364.0,1,1,0.0025865040423032355,0.00040979420174283983
365.0,1,1,5.4776170317372244e-05,0.0001993597942542253
423.0,1,2,0.0004920948634202953,0.0002694558384004311
367.0,1,1,0.01096175821709355,0.00137179797176987
368.0,1,1,0.0004395453666930602,0.00020468749727381831
370.0,2,1,0.0021500760186363675,0.00036446375252277005
369.0,2,4,0.005713300534926166,0.0005573061261737824
424.0,2,1,0.0005237136284002419,0.00034078554995734873
430.0,1,1,0.0,0.0001958801898970333
371.0,2,1,0.011004510350024182,0.0014957667613567061
372.0,1,1,0.010786073670831734,0.0017676168875903325
376.0,1,1,0.010743321537901102,0.0016027612161473295
373.0,1,1,0.0018747107179894148,0.0004148848844462051
374.0,2,1,0.0214833698656247,0.0013185649969636656
377.0,2,1,0.034303412311537,0.0008996539752554482
661.0,1,1,0.03426066017860637,0.0008661545006238955
660.0,1,2,0.0013244254514135371,0.00014588952615663688
386.0,1,1,0.0010846621873911095,0.00015167678584837032
380.0,2,1,0.005377023341180131,0.0007904144800071206
383.0,1,1,1.33600415408225e-06,0.0003135599022970384
385.0,1,2,0.006168776514115775,0.0006527989668808949
388.0,1,1,0.0057394738459373455,0.000650351620770375
389.0,1,1,1.7813388721096664e-06,0.0002512469438154227
390.0,1,1,0.001093074065398294,0.00035212168842685404
391.0,1,3,0.004282487093457648,0.0003935490555578521
394.0,1,1,0.0008586053363568592,0.00019832700541175515
395.0,1,1,0.0005199282832970089,0.0001971867338615228
396.0,1,1,2.1821401183343412e-05,0.0001897040937174381
397.0,1,6,0.0,0.00011141126934331014
398.0,2,1,0.0007849024405233218,0.00021296488541947076
399.0,2,2,0.0004448893833093892,0.00022121305779905086
400.0,1,1,0.0,0.00011727866236456012
403.0,1,1,0.0,0.00011454155380376752
404.0,1,1,8.439092906619545e-05,0.00011433733395473272
401.0,1,2,0.0,0.0001470827938456157
402.0,1,1,1.33600415408225e-06,0.00017793758093542693
405.0,2,1,0.0,0.0010711641519344308
406.0,1,2,0.0009583603131950005,0.00013925759845292887
416.0,2,1,2.8056087235727245e-05,0.00033753545698319323
407.0,1,1,9.797363796603164e-06,0.00021157776425657554
414.0,1,1,0.00047918015659750027,0.00013126794573840443
415.0,2,1,0.000523862073306251,0.00042024805525517
412.0,2,1,0.00012751417426185027,0.0005998874243145581
413.0,1,1,0.002585168038149153,0.000249115508041694
417.0,1,2,0.00222890026372722,0.0003432830334060029
418.0,2,2,0.0017955895830865437,0.0006076496823115841
419.0,1,1,0.0013613882330098125,0.00027579843801127314
420.0,1,1,0.0009262962134970265,0.00020682166431779992
421.0,1,1,0.008501662434502396,0.0008600881465040875
422.0,2,1,0.0,0.0014814386381757608
425.0,4,1,0.008076367778786214,0.0008942206189930092
426.0,1,4,0.0,0.00013561735189744357
428.0,2,2,0.0,0.0002210364012128118
429.0,2,2,0.0008862160888745591,0.0002233401894319458
433.0,1,1,4.453347180274166e-07,0.0001231617614984468
431.0,1,1,0.0006539740334232613,0.00032084520457887353
432.0,1,1,0.00022734337355299617,0.00025981765864563713
434.0,1,3,0.0,0.00011951733582009325
435.0,2,2,1.7813388721096663e-05,0.000439147619690997
436.0,3,2,0.005707855080957398,0.0007754970752362305
437.0,1,1,0.0008737467167697913,0.0002101938492234907
438.0,1,1,0.0,0.0006666666666666666
439.0,1,1,0.0004373186931029231,0.0001296398226158393
440.0,1,1,0.0,0.0006666666666666666
441.0,1,1,0.0,0.0006666666666666666
442.0,1,1,2.6720083081645e-06,0.0009561873383042231
448.0,3,1,4.008012462246749e-05,0.0014255451516388632
443.0,1,1,0.0,0.0006666666666666665
444.0,1,1,2.226673590137083e-06,0.00012130625709558948
