source_center,destination_center,recommended_route_type,delay_ratio,sla_breach,trip_uuid
230,227,Carting,3.42058596931974,0.9090909090909091,11
522,600,Carting,3.4194219371042243,1.0,87
862,1318,Carting,3.4184511152911106,1.0,51
776,758,Carting,3.4166666666666665,1.0,1
308,307,Carting,3.4136904761904763,1.0,4
739,732,Carting,3.4,1.0,3
1219,1432,FTL,3.3977118921180205,1.0,4
1112,1097,Carting,3.3976047019906668,1.0,30
307,304,Carting,3.3968530465949818,1.0,5
1034,1011,Carting,3.3952750650572794,1.0,18
906,893,Carting,3.3951202428467524,1.0,64
1268,1246,Carting,3.3925089966228343,1.0,9
302,298,Carting,3.3883144306504516,1.0,71
1219,1191,Carting,3.387906828108265,1.0,43
1004,987,Carting,3.3841980667017406,1.0,36
1490,1469,Carting,3.380952380952381,1.0,2
521,523,Carting,3.3742642651973123,1.0,70
131,130,Carting,3.3682065217391304,1.0,2
1387,1383,Carting,3.368187099755727,1.0,9
1114,1100,Carting,3.368181818181818,1.0,2
502,498,Carting,3.3636363636363638,1.0,2
1427,29,Carting,3.3563837086791533,0.9714285714285714,70
1290,1274,Carting,3.3554429017984004,1.0,4
22,20,Carting,3.3549783549783547,1.0,20
475,475,Carting,3.3513204902093787,1.0,54
1290,1276,Carting,3.351243894993895,1.0,32
3,653,Carting,3.347826086956522,1.0,3
1118,1106,Carting,3.3466662141011354,0.9387755102040817,49
309,304,Carting,3.3430506007355514,0.95,100
61,408,Carting,3.3393508198556625,1.0,4
1287,1285,Carting,3.336930653177088,1.0,28
1027,1026,Carting,3.332018576661434,1.0,14
999,987,Carting,3.3169300007157823,0.9855072463768116,69
1460,1458,Carting,3.3147264911970797,1.0,3
510,502,Carting,3.3119429590017826,1.0,3
1222,1234,Carting,3.3076923076923075,1.0,4
1207,1202,Carting,3.3026237608280953,1.0,16
607,602,Carting,3.300670103941987,1.0,33
916,1202,FTL,3.3,1.0,1
862,879,Carting,3.2962044907075665,1.0,12
373,360,Carting,3.291808899951848,1.0,12
1450,1424,Carting,3.2912808682545527,1.0,24
1482,1445,Carting,3.2880734880046885,1.0,27
1298,1275,Carting,3.2857340946409774,1.0,39
169,169,Carting,3.2857142857142856,1.0,2
224,304,Carting,3.2842525228324853,1.0,56
526,524,Carting,3.2811698717948716,1.0,32
1473,1437,Carting,3.2802923561235584,1.0,6
1209,1202,Carting,3.27406570491729,1.0,42
339,335,Carting,3.2738617298410726,1.0,18
1370,1385,Carting,3.2636268721221637,1.0,7
1466,1455,Carting,3.26109022556391,1.0,8
1218,1198,Carting,3.2571428571428576,1.0,3
262,277,Carting,3.2511118855454146,1.0,30
39,40,Carting,3.25,1.0,2
992,829,Carting,3.2465811965811966,1.0,4
655,652,Carting,3.242424242424242,1.0,2
1234,1201,Carting,3.2375756840042555,1.0,4
988,978,Carting,3.2327993667285995,1.0,18
1170,1149,Carting,3.226786863336571,1.0,27
903,892,Carting,3.2263921888921887,1.0,4
1216,1201,Carting,3.225472086251515,1.0,75
1470,1437,Carting,3.2241086548255424,1.0,113
40,39,Carting,3.2222222222222223,1.0,2
478,475,Carting,3.221263613091651,0.9830508474576272,59
