source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,corridor
IND251201AAA,IND131028AAB,4.217346246477603,7.795796472658811,82.793925,354.0,1.0,4,4.325677440388684,IND251201AAA → IND131028AAB
IND400072AAJ,IND400037AAA,9.0,1.3888888888888908,13.96195,108.0,1.0,2,4.316666666666667,IND400072AAJ → IND400037AAA
IND395001AAA,IND395023AAD,8.167582417582418,2.491924284506703,14.21807,113.4,1.0,10,4.314610252384978,IND395001AAA → IND395023AAD
IND844505AAB,IND842001AAA,6.206749014742373,5.027935809411269,53.769975,240.75,1.0,4,4.29108034872033,IND844505AAB → IND842001AAA
IND305901AAA,IND305624AAA,4.604626022991816,7.107634262725506,64.22996,246.4,1.0,5,4.274140688014379,IND305901AAA → IND305624AAA
IND842001AAA,IND843320AAA,4.429347826086956,7.251033790170132,49.63053333333334,196.66666666666666,1.0,3,4.2470492674858225,IND842001AAA → IND843320AAA
IND829121AAA,IND834002AAB,6.36152081182499,4.591894153383073,58.87272222222222,312.962962962963,1.0,54,4.222176570744917,IND829121AAA → IND834002AAB
IND147001AAB,IND160002AAC,3.172391012345647,9.147093667421062,43.108984615384614,108.84615384615384,0.6923076923076923,13,4.220776812856885,IND147001AAB → IND160002AAC
IND751014AAA,IND751002AAB,4.238095238095237,7.354830994897958,10.54651111111111,32.0,1.0,9,4.201687393707482,IND751014AAA → IND751002AAB
IND395006AAA,IND395023AAD,8.002777777777778,2.3150231481481485,16.885566666666666,122.33333333333333,1.0,3,4.195618055555556,IND395006AAA → IND395023AAD
IND713205AAB,IND722101AAB,3.98990990990991,7.971581105429754,48.39116666666667,196.33333333333334,0.6666666666666666,3,4.18743829559289,IND713205AAB → IND722101AAB
IND400072AAB,IND421302AAS,3.8812552213868003,7.781476203693235,22.423083333333334,69.0,1.0,6,4.18694494966269,IND400072AAB → IND421302AAS
IND854326AAB,IND854105AAA,4.236111111111111,7.292245370370369,25.0829,74.66666666666667,1.0,3,4.182118055555556,IND854326AAB → IND854105AAA
IND700053AAA,IND712311AAA,4.367427073246039,6.913976956758202,23.000725,98.9375,1.0,16,4.121163916325877,IND700053AAA → IND712311AAA
IND501401AAC,IND500010AAA,4.211154401154401,6.91761243910525,14.401586666666667,59.93333333333333,1.0,15,4.059745492193335,IND501401AAC → IND500010AAA
IND781102AAA,IND781018AAB,3.544117647058824,7.70826124567474,38.68156666666667,125.0,1.0,3,4.030125432525952,IND781102AAA → IND781018AAB
IND507159AAA,IND507002AAA,3.901595860566449,7.137552797935623,25.383355555555553,77.33333333333333,1.0,9,4.001904183607267,IND507159AAA → IND507002AAA
IND321001AAA,IND301001AAB,4.764508913737657,5.986662684818157,76.75762,378.6,1.0,15,4.00180237094051,IND321001AAA → IND301001AAB
IND401602AAA,IND401501AAA,6.5921269955490605,3.5460478390030237,25.544135999999998,157.76,1.0,25,4.000665149920532,IND401602AAA → IND401501AAA
IND854311AAA,IND854326AAB,4.588541666666667,6.1615125868055545,35.90525,127.0,1.0,2,3.983870442708333,IND854311AAA → IND854326AAB
IND000000AAQ,IND700028AAB,6.2857142857142865,3.8359476021813683,12.518075,78.25,1.0,4,3.9650699949401247,IND000000AAQ → IND700028AAB
IND274001AAA,IND273014AAB,6.953707798909037,2.9415239943133864,44.9044,207.0,1.0,3,3.963940317857631,IND274001AAA → IND273014AAB
IND671315AAA,IND575004AAB,8.01923076923077,1.4977810650887566,80.5539,625.5,1.0,2,3.957026627218935,IND671315AAA → IND575004AAB
IND391110AAD,IND390022AAA,5.637254901960785,4.490660643342306,25.784475,120.0,1.0,4,3.9021001537870057,IND391110AAD → IND390022AAA
IND530043AAA,IND530012AAA,4.163690476190476,6.398827239229026,20.6629,81.5,1.0,2,3.8851243622448983,IND530043AAA → IND530012AAA
IND390020AAA,IND390022AAA,5.89047619047619,3.966598639455781,12.785066666666665,77.66666666666667,1.0,3,3.8461700680272104,IND390020AAA → IND390022AAA
IND221313AAA,IND276128AAA,3.1441690941225566,7.539514681749419,70.88155,205.5,1.0,8,3.8195220421738485,IND221313AAA → IND276128AAA
IND485771AAA,IND486771AAA,5.0444290444290445,4.9910238001461105,91.00616,373.0,1.0,5,3.815078757815451,IND485771AAA → IND486771AAA
IND485001AAC,IND486771AAA,5.224758011608334,4.833247550881697,86.42405833333333,375.625,0.9166666666666666,24,3.8148774699078425,IND485001AAC → IND486771AAA
IND321606AAA,IND301001AAB,3.7566513874788714,6.6849890268031595,51.46591666666667,210.27777777777777,1.0,18,3.8081572630324962,IND321606AAA → IND301001AAB
IND302020AAA,IND302014AAB,4.934157363104732,5.078425152715425,12.279718421052632,54.473684210526315,1.0,38,3.7971904910565204,IND302020AAA → IND302014AAB
IND843320AAA,IND847223AAA,3.26109022556391,7.294700378766465,23.3774875,64.375,1.0,8,3.7928462038555035,IND843320AAA → IND847223AAA
IND204101AAA,IND282002AAD,3.815183681490183,6.443233842610797,52.327912500000004,163.125,1.0,8,3.7590436253793125,IND204101AAA → IND282002AAD
IND302004AAA,IND302014AAB,3.7929617604617603,6.4245979827373025,15.984773333333333,51.333333333333336,1.0,15,3.7445640990058946,IND302004AAA → IND302014AAB
IND209801AAA,IND209304AAA,3.185720975144967,7.281132783573578,27.4917375,77.5,0.9375,16,3.7398782251300604,IND209801AAA → IND209304AAA
IND283122AAB,IND282005AAA,5.016287878787879,4.732083524640343,21.7673,94.25,1.0,4,3.726140208907254,IND283122AAB → IND282005AAA
IND401104AAA,IND400072AAB,4.047887295414033,5.809567293430522,16.951321818181817,55.09090909090909,1.0,55,3.66202510619477,IND401104AAA → IND400072AAB
IND828111AAA,IND826004AAA,4.520689550101315,5.1775687543876066,15.19978888888889,54.888888888888886,1.0,9,3.661546446356808,IND828111AAA → IND826004AAA
IND713205AAB,IND712311AAA,3.809152707786889,6.079538135681821,94.87026746987952,301.50602409638554,1.0,83,3.647522523819302,IND713205AAB → IND712311AAA
IND401209AAA,IND401104AAA,3.9531453575230278,5.844342962970313,21.24977192982456,68.71929824561404,1.0,57,3.634561031900305,IND401209AAA → IND401104AAA
IND147001AAD,IND160002AAC,3.0338660230842027,7.21860310956689,40.536344444444445,98.77777777777777,0.7777777777777778,9,3.6124606754370814,IND147001AAD → IND160002AAC
IND390022AAA,IND390020AAA,4.548787878787879,4.925785583103765,12.376259999999998,61.8,1.0,5,3.597250826446281,IND390022AAA → IND390020AAA
IND244901AAB,IND243503AAB,4.8355056128082445,4.442563757211034,62.44194999999999,231.75,1.0,4,3.5669713722866083,IND244901AAB → IND243503AAB
IND757041AAA,IND756019AAA,2.376859381750304,7.950184107607806,42.901242857142854,112.57142857142857,0.7142857142857143,7,3.5500846992681776,IND757041AAA → IND756019AAA
IND600119AAA,IND600016AAC,3.3952750650572794,6.065584846078123,17.198844444444447,71.22222222222223,1.0,18,3.477785479846349,IND600119AAA → IND600016AAC
IND700065AAB,IND712310AAA,5.64775557297109,3.0004302089215473,17.979072413793105,89.75862068965517,1.0,29,3.4592312918649,IND700065AAB → IND712310AAA
IND400102AAC,IND400052AAA,4.944971190425736,3.8429608984610355,10.925036363636364,54.27272727272727,1.0,11,3.430876745708605,IND400102AAC → IND400052AAA
IND395004AAB,IND395023AAD,5.693998811645871,2.7829227227360818,14.931959999999998,82.2,1.0,5,3.412476341479173,IND395004AAB → IND395023AAD
IND395023AAA,IND394221AAA,3.3119429590017826,5.903981621817419,13.363033333333334,48.666666666666664,1.0,3,3.395971670145939,IND395023AAA → IND394221AAA
IND790001AAB,IND784001AAA,3.433498242552086,5.735884350699321,80.6605,286.875,1.0,8,3.3941646022306307,IND790001AAB → IND784001AAA
IND523201AAA,IND523002AAA,6.58269056261343,1.4922690858025827,33.38256666666667,174.0,1.0,3,3.3807569507861466,IND523201AAA → IND523002AAA
IND811399AAA,IND110044AAB,3.3563837086791533,5.810354805299045,13.319755714285714,51.92857142857143,0.9714285714285714,70,3.377088496489946,IND811399AAA → IND110044AAB
IND401209AAB,IND401104AAA,3.6080132446386317,5.351824459640439,20.33628666666667,58.166666666666664,1.0,30,3.3487526357475845,IND401209AAB → IND401104AAA
IND518002AAA,IND509103AAB,3.206517251655834,5.876243765706055,63.7315625,184.25,1.0,8,3.3454800303741496,IND518002AAA → IND509103AAB
IND733129AAA,IND732103AAB,4.682046568246314,3.9078110222470746,39.03110869565217,121.04347826086956,1.0,23,3.3451619339726477,IND733129AAA → IND732103AAB
IND562114AAA,IND560048AAB,3.870306223369949,4.884684052712634,16.372405555555556,53.333333333333336,1.0,18,3.31352770516177,IND562114AAA → IND560048AAB
IND401104AAB,IND400072AAB,3.0214778503994193,5.959455331757491,16.294433333333334,41.0,1.0,9,3.296427739687015,IND401104AAB → IND400072AAB
IND331701AAA,IND125001AAA,4.578774350649351,3.8741523589032725,53.75418333333334,250.66666666666666,1.0,6,3.293755447930722,IND331701AAA → IND125001AAA
IND302026AAA,IND302014AAB,5.8165266106442575,2.028109282928858,19.0703,108.5,1.0,2,3.2350434291363603,IND302026AAA → IND302014AAB
IND181201AAB,IND181152AAB,5.668952580150896,2.1375560858191593,22.699333333333332,100.91666666666667,1.0,24,3.208847857806106,IND181201AAB → IND181152AAB
IND713205AAB,IND722143AAB,3.9160436246523203,4.472660698386444,32.30004,97.3,1.0,10,3.2082156593768616,IND713205AAB → IND722143AAB
IND370001AAA,IND370110AAA,3.5319751078448105,4.984039549822525,31.59142222222222,91.55555555555556,1.0,9,3.208001908084682,IND370001AAA → IND370110AAA
IND505209AAA,IND505001AAB,3.0868455245104545,5.568991347375403,47.77862222222222,102.66666666666667,1.0,9,3.2054356140168028,IND505209AAA → IND505001AAB
IND209304AAA,IND208019AAA,5.192337718563209,2.756825492470741,16.672425,77.88888888888889,1.0,36,3.203982735166506,IND209304AAA → IND208019AAA
IND370615AAB,IND370001AAA,3.4676932367149758,5.049779731586501,42.6633,147.66666666666666,1.0,3,3.2020112141619403,IND370615AAB → IND370001AAA
IND624601AAA,IND624001AAA,5.345160409122673,2.5120224467787096,43.69251666666667,201.33333333333334,1.0,6,3.191670897682682,IND624601AAA → IND624001AAA
IND798601AAA,IND785001AAA,3.889716290924471,4.383927765494554,60.495354545454546,190.72727272727272,1.0,33,3.1710648460181545,IND798601AAA → IND785001AAA
IND500018AAA,IND500080AAB,4.022222222222222,4.16437962962963,14.6746,64.5,1.0,6,3.158202777777778,IND500018AAA → IND500080AAB
IND477001AAB,IND474003AAA,4.197336152155374,3.9193203919839408,60.82637142857143,183.71428571428572,1.0,28,3.1547305784573316,IND477001AAB → IND474003AAA
IND462042AAA,IND462022AAA,3.842937332275568,4.390153758410342,15.424376470588236,65.88235294117646,1.0,34,3.15422106043333,IND462042AAA → IND462022AAA
IND713205AAB,IND722202AAA,3.6032014221158954,4.6852158617064035,13.190225,53.75,1.0,8,3.1468453273582795,IND713205AAB → IND722202AAA
IND321408AAB,IND301001AAB,3.7824175824175823,4.422694143915145,73.723875,284.0,1.0,4,3.1397752761415765,IND321408AAB → IND301001AAB
IND571124AAA,IND570020AAA,4.283117373688082,3.7349729214314333,32.40103684210526,108.89473684210526,1.0,19,3.133738825904663,IND571124AAA → IND570020AAA
IND505122AAA,IND506002AAA,3.663868090930009,4.528668599776652,38.83000357142857,113.0,1.0,28,3.1241478163049994,IND505122AAA → IND506002AAA
IND212402AAA,IND211002AAB,4.6996336996337,3.1378059770916913,9.75713076923077,30.0,1.0,13,3.1211952729809873,IND212402AAA → IND211002AAB
IND415408AAC,IND416012AAA,4.4115842073013845,3.5134024860460333,49.36748461538461,201.76923076923077,1.0,13,3.118654428734364,IND415408AAC → IND416012AAA
IND573116AAA,IND571426AAA,6.293103448275862,0.9994054696789535,28.40515,158.0,1.0,2,3.1170630202140313,IND573116AAA → IND571426AAA
IND342301AAA,IND342005AAD,3.718633823038871,4.415145058836765,108.22536153846153,350.36538461538464,1.0,52,3.111997046866578,IND342301AAA → IND342005AAD
IND000000AFT,IND400706AAA,4.0814814814814815,3.9038683127572025,15.4806,68.66666666666667,1.0,3,3.1037530864197533,IND000000AFT → IND400706AAA
IND400612AAA,IND421302AAR,3.7374222999222995,4.249435122061076,14.455791666666668,45.583333333333336,1.0,12,3.0697994565872424,IND400612AAA → IND421302AAR
IND641006AAD,IND641062AAD,2.582003565677479,5.782398969676036,21.296393333333334,62.53333333333333,1.0,15,3.0675211171738024,IND641006AAD → IND641062AAD
IND785690AAB,IND785682AAA,4.4275730865475005,3.3134162108359555,31.769985507246375,108.89855072463769,1.0,69,3.065054097869787,IND785690AAB → IND785682AAA
IND506314AAA,IND506002AAA,3.7196856370639293,4.254933885603095,30.46858888888889,80.48148148148148,1.0,27,3.0643544205065005,IND506314AAA → IND506002AAA
IND176310AAA,IND145001AAA,2.7170859164478336,6.120386387693079,84.72807948717949,408.46153846153845,0.46153846153846156,39,3.061411821348596,IND176310AAA → IND145001AAA
IND400102AAC,IND421302AAG,3.6647896660809733,4.313484815993174,24.9897075,80.8125,1.0,80,3.0599613112303414,IND400102AAC → IND421302AAG
IND144001AAB,IND160002AAC,4.173983055550566,3.5989512063479516,93.83041428571428,319.14285714285717,1.0,7,3.049278584124612,IND144001AAB → IND160002AAC
IND110085AAB,IND000000ACB,3.47115865747071,4.3630569189050545,43.85456326530612,133.42857142857142,1.0,49,2.9973805386598,IND110085AAB → IND000000ACB
IND462021AAA,IND462001AAA,6.7272727272727275,0.0,11.7024,74.0,1.0,2,2.990909090909091,IND462021AAA → IND462001AAA
