node,in_degree,out_degree,betweenness,pagerank,bottleneck_score
IND700053AAA,3,4,0.003614036550743911,0.001180401993422982,1.2017997352183245
IND388320AAA,4,4,0.0032330405577244876,0.0016630079812503366,1.201792118617465
IND712310AAE,5,4,0.0032314556143935285,0.0014959664113992984,1.2017413721691772
IND202001AAB,4,4,0.003149437409560241,0.0010092034557615433,1.2015625360005524
IND673632AAA,2,4,0.002434472956355781,0.0007512138249170013,1.2011991533300175
IND421302AAR,5,4,0.001615544929120115,0.0014167320119173662,1.2010712375752233
IND784001AAA,3,4,0.0014076125559698352,0.0006759630966329358,1.2007658339513778
IND401104AAA,4,4,0.0012082754524220737,0.000785926001431882,1.2007190879813983
IND362001AAA,3,4,4.05989330161496e-05,0.00194934984137017,1.2006010445256174
IND173212AAA,2,4,0.0010045492750347285,0.0005837804533052877,1.2005769538460054
IND184104AAA,2,4,0.0010021718600382874,0.0005789149965570527,1.2005745432429824
IND572201AAB,2,4,0.0010027204942682352,0.0005697681134939873,1.2005720186317554
IND184121AAA,3,4,0.00040342903708840544,0.0010068408248105573,1.2004634238622784
IND470004AAA,1,4,0.0008097841234032,0.0003100915529268941,1.2004169411152392
IND627005AAA,3,4,1.5727514591841734e-05,0.0009484757775202474,1.2002908337390927
IND600032AAB,3,4,5.85209845277832e-06,0.0008053706363430022,1.200243952030284
IND509124AAA,2,4,0.00020116588431425475,0.0005432061386309887,1.200243428195315
IND560300AAB,3,4,5.181545505064137e-06,0.0007749751034905347,1.2002345651492492
IND852111AAA,2,4,1.4264489978647156e-06,0.00033987297633628327,1.2001025324725
IND751015AAA,0,4,0.0,0.00012052430725825088,1.2000361572921774
IND785001AAA,3,3,0.00796580326269119,0.0015777597139668437,0.9036596492192664
IND605010AAB,2,3,0.007203201683063515,0.000811900682849175,0.90312485087808
IND506002AAA,3,3,0.006814402892107055,0.001057591506680917,0.903043038608847
IND335513AAA,3,3,0.004812253708950272,0.001250068393542439,0.9022999220016428
IND605601AAA,3,3,0.0048133509774101685,0.0011748155518619683,0.9022777850565226
IND249407AAA,5,3,0.0040138080262993306,0.0018985201828157178,0.9021750792653643
IND444005AAB,3,3,0.0044135795018547495,0.0013594039764625023,0.9021732529936806
IND732103AAB,4,3,0.0032490119097518637,0.002568200309584748,0.9020700648567761
IND503111AAC,3,3,0.004012345001686136,0.0010639971342819644,0.901924137140959
IND577002AAA,4,3,0.003213533562881895,0.002040561326711069,0.901897581823166
IND232104AAB,1,3,0.0040361191516505475,0.00035728649133759524,0.9017216336080615
IND301001AAB,5,3,0.0032118876601920513,0.0011162412167104447,0.9016196274290899
IND570020AAA,4,3,0.0028342444319112,0.0014531973238052166,0.901569656969906
IND201301AAF,8,3,0.001621762783726192,0.0025791627938001114,0.9014224539516305
IND600116AAB,4,3,0.0028130305750198787,0.0009447318131117021,0.9014086317739414
IND221010AAB,2,3,0.002843754091896965,0.0008539031395991498,0.9013936725786384
IND625008AAA,5,3,5.3034642228303525e-05,0.004123556840940176,0.9012582809091733
IND786181AAC,3,3,0.0020105615746826514,0.0013656790998017696,0.9012139283598135
IND500010AAA,3,3,0.002010195818529353,0.001311327977964894,0.9011974767208011
IND411014AAA,3,3,0.0016085955622074407,0.0015160373041402813,0.9010982494161249
IND583201AAA,3,3,0.002009464306222756,0.0009513276188966345,0.901089184008158
IND201007AAB,1,3,0.0021437769324978728,0.0007649204732518716,0.9010869869149746
