source_center,destination_center,mean_delay_ratio,delay_variance,avg_distance,avg_actual_time,sla_breach_rate,trip_count,corridor_risk,estimated_revenue_risk
1229,1202,3.809152707786889,6.079538135681821,94.87026746987952,301.50602409638554,1.0,83,3.647522523819302,41500.0
542,534,3.9531453575230278,5.844342962970313,21.24977192982456,68.71929824561404,1.0,57,3.634561031900305,28500.0
115,135,3.0338660230842027,7.21860310956689,40.536344444444445,98.77777777777777,0.7777777777777778,9,3.6124606754370814,3500.0
503,499,4.548787878787879,4.925785583103765,12.376259999999998,61.8,1.0,5,3.597250826446281,2500.0
256,246,4.8355056128082445,4.442563757211034,62.44194999999999,231.75,1.0,4,3.5669713722866083,2000.0
1328,1301,2.376859381750304,7.950184107607806,42.901242857142854,112.57142857142857,0.7142857142857143,7,3.5500846992681776,2500.0
1034,1011,3.3952750650572794,6.065584846078123,17.198844444444447,71.22222222222223,1.0,18,3.477785479846349,9000.0
1210,1200,5.64775557297109,3.0004302089215473,17.979072413793105,89.75862068965517,1.0,29,3.4592312918649,14500.0
534,521,4.944971190425736,3.8429608984610355,10.925036363636364,54.27272727272727,1.0,11,3.430876745708605,5500.0
506,508,5.693998811645871,2.7829227227360818,14.931959999999998,82.2,1.0,5,3.412476341479173,2500.0
510,502,3.3119429590017826,5.903981621817419,13.363033333333334,48.666666666666664,1.0,3,3.395971670145939,1500.0
1391,1342,3.433498242552086,5.735884350699321,80.6605,286.875,1.0,8,3.3941646022306307,4000.0
854,847,6.58269056261343,1.4922690858025827,33.38256666666667,174.0,1.0,3,3.3807569507861466,1500.0
1427,29,3.3563837086791533,5.810354805299045,13.319755714285714,51.92857142857143,0.9714285714285714,70,3.377088496489946,34000.0
543,534,3.6080132446386317,5.351824459640439,20.33628666666667,58.166666666666664,1.0,30,3.3487526357475845,15000.0
834,799,3.206517251655834,5.876243765706055,63.7315625,184.25,1.0,8,3.3454800303741496,4000.0
1270,1246,4.682046568246314,3.9078110222470746,39.03110869565217,121.04347826086956,1.0,23,3.3451619339726477,11500.0
913,885,3.870306223369949,4.884684052712634,16.372405555555556,53.333333333333336,1.0,18,3.31352770516177,9000.0
541,523,3.0214778503994193,5.959455331757491,16.294433333333334,41.0,1.0,9,3.296427739687015,4500.0
396,65,4.578774350649351,3.8741523589032725,53.75418333333334,250.66666666666666,1.0,6,3.293755447930722,3000.0
348,340,5.8165266106442575,2.028109282928858,19.0703,108.5,1.0,2,3.2350434291363603,1000.0
164,162,5.668952580150896,2.1375560858191593,22.699333333333332,100.91666666666667,1.0,24,3.208847857806106,12000.0
1229,1232,3.9160436246523203,4.472660698386444,32.30004,97.3,1.0,10,3.2082156593768616,5000.0
469,467,3.5319751078448105,4.984039549822525,31.59142222222222,91.55555555555556,1.0,9,3.208001908084682,4500.0
770,762,3.0868455245104545,5.568991347375403,47.77862222222222,102.66666666666667,1.0,9,3.2054356140168028,4500.0
204,196,5.192337718563209,2.756825492470741,16.672425,77.88888888888889,1.0,36,3.203982735166506,18000.0
472,466,3.4676932367149758,5.049779731586501,42.6633,147.66666666666666,1.0,3,3.2020112141619403,1500.0
1085,1070,5.345160409122673,2.5120224467787096,43.69251666666667,201.33333333333334,1.0,6,3.191670897682682,3000.0
1408,1348,3.889716290924471,4.383927765494554,60.495354545454546,190.72727272727272,1.0,33,3.1710648460181545,16500.0
735,738,4.022222222222222,4.16437962962963,14.6746,64.5,1.0,6,3.158202777777778,3000.0
698,690,4.197336152155374,3.9193203919839408,60.82637142857143,183.71428571428572,1.0,28,3.1547305784573316,14000.0
674,668,3.842937332275568,4.390153758410342,15.424376470588236,65.88235294117646,1.0,34,3.15422106043333,17000.0
1229,1235,3.6032014221158954,4.6852158617064035,13.190225,53.75,1.0,8,3.1468453273582795,4000.0
384,334,3.7824175824175823,4.422694143915145,73.723875,284.0,1.0,4,3.1397752761415765,2000.0
930,916,4.283117373688082,3.7349729214314333,32.40103684210526,108.89473684210526,1.0,19,3.133738825904663,9500.0
768,774,3.663868090930009,4.528668599776652,38.83000357142857,113.0,1.0,28,3.1241478163049994,14000.0
216,208,4.6996336996337,3.1378059770916913,9.75713076923077,30.0,1.0,13,3.1211952729809873,6500.0
590,591,4.4115842073013845,3.5134024860460333,49.36748461538461,201.76923076923077,1.0,13,3.118654428734364,6500.0
943,925,6.293103448275862,0.9994054696789535,28.40515,158.0,1.0,2,3.1170630202140313,1000.0
427,424,3.718633823038871,4.415145058836765,108.22536153846153,350.36538461538464,1.0,52,3.111997046866578,26000.0
21,533,4.0814814814814815,3.9038683127572025,15.4806,68.66666666666667,1.0,3,3.1037530864197533,1500.0
535,602,3.7374222999222995,4.249435122061076,14.455791666666668,45.583333333333336,1.0,12,3.0697994565872424,6000.0
1137,1125,2.582003565677479,5.782398969676036,21.296393333333334,62.53333333333333,1.0,15,3.0675211171738024,7500.0
1376,1354,4.4275730865475005,3.3134162108359555,31.769985507246375,108.89855072463769,1.0,69,3.065054097869787,34500.0
785,774,3.7196856370639293,4.254933885603095,30.46858888888889,80.48148148148148,1.0,27,3.0643544205065005,13500.0
157,112,2.7170859164478336,6.120386387693079,84.72807948717949,408.46153846153845,0.46153846153846156,39,3.061411821348596,9000.0
534,600,3.6647896660809733,4.313484815993174,24.9897075,80.8125,1.0,80,3.0599613112303414,40000.0
106,135,4.173983055550566,3.5989512063479516,93.83041428571428,319.14285714285717,1.0,7,3.049278584124612,3500.0
38,6,3.47115865747071,4.3630569189050545,43.85456326530612,133.42857142857142,1.0,49,2.9973805386598,24500.0
672,666,6.7272727272727275,0.0,11.7024,74.0,1.0,2,2.990909090909091,1000.0
608,600,3.6454750705427594,4.06209993456399,30.706624137931037,83.67241379310344,1.0,58,2.9768200085863006,29000.0
311,304,4.7120421660050145,2.6222094385610317,41.43983,139.73333333333332,1.0,30,2.9714796979703153,15000.0
739,744,3.515088897008207,4.224278549117977,25.44805806451613,80.06451612903226,0.967741935483871,31,2.9636417041838374,15000.0
47,46,4.103999274407539,3.2771404915791633,28.432715686274513,89.0,1.0,51,2.9247418572367647,25500.0
1206,1202,3.79251592542769,3.6740197997026405,25.702980000000004,109.6,1.0,10,2.9192123100818685,5000.0
