node,in_degree,out_degree,betweenness,pagerank,bottleneck_score,estimated_delay_cost
222.0,2,5,0.0017341333919987602,0.00033498362409793025,1.5007941484440288,15007.941484440287
1440.0,2,5,0.0014273506909229345,0.00016918334181425935,1.5006216952789135,15006.216952789135
189.0,1,5,0.0008363386004554882,0.00010820626996791082,1.5003669973211726,15003.669973211727
574.0,1,5,0.0006656566475261805,0.00013425511777924887,1.5003065391943442,15003.065391943443
48.0,1,5,0.00043509201951278607,0.00011319544864844964,1.5002079954423997,15002.079954423996
170.0,1,5,0.0,0.00014264193499590464,1.5000427925804987,15000.427925804986
712.0,1,5,0.0,0.00012008468872915185,1.5000360254066187,15000.360254066187
635.0,1,5,0.0,0.00011666979927145153,1.5000350009397814,15000.350009397815
38.0,1,5,0.0,0.00011643065604741798,1.5000349291968142,15000.349291968143
1238.0,1,4,0.10512498265035133,0.00024441384149825575,1.24212331721259,12421.2331721259
1192.0,2,4,0.08620988710670033,0.00024293770681576925,1.2345568361547248,12345.568361547248
124.0,5,4,0.04769508662642594,0.0008320394948201382,1.2193276464990164,12193.276464990164
640.0,4,4,0.02387952618591468,0.003755376262432953,1.2106784233530956,12106.784233530956
1098.0,1,4,0.024165321861850317,0.0004686789960124626,1.2098067324435438,12098.067324435438
1161.0,1,4,0.023187709304666744,0.0001631569326059983,1.2093240308016484,12093.240308016484
806.0,1,4,0.02092617979027791,0.0001104779179025672,1.2084036152914819,12084.03615291482
941.0,2,4,0.01630210824424412,0.0008397067908849157,1.206772755334963,12067.72755334963
1323.0,3,4,0.008935646812938267,0.0008301560250021905,1.203823305532676,12038.233055326758
1023.0,2,4,0.008522051165622647,0.0006152638993058738,1.2035933996360408,12035.933996360409
871.0,8,4,0.00817560708629607,0.0009766682875734073,1.2035632433207903,12035.632433207904
1218.0,2,4,0.007791060830392354,0.0010925922116262238,1.2034442019956448,12034.442019956448
907.0,1,4,0.007402932618185074,0.0004045890799626303,1.2030825497712627,12030.825497712627
739.0,1,4,0.007152054365105166,0.0002804871843118415,1.2029449679013355,12029.449679013356
369.0,2,4,0.005713300534926166,0.0005573061261737824,1.2024525120518226,12024.525120518225
1307.0,1,4,0.005008775532682888,0.00014832702866178705,1.2020480083216716,12020.480083216717
1386.0,1,4,0.0027290107486085164,0.0003395999904883953,1.20119348429659,12011.934842965898
212.0,1,4,0.0025669093147100293,0.00025970941365674607,1.201104676549981,12011.04676549981
180.0,1,4,0.0025200996876818134,0.0002907968531726389,1.2010952789310245,12010.952789310246
497.0,1,4,0.002486006840935049,0.0002638712983382581,1.2010735641258754,12010.735641258754
605.0,1,4,0.0019554944358395883,0.0002731402218568445,1.2008641398408928,12008.641398408929
1364.0,1,4,0.0016454213666685534,0.0003200544246968892,1.2007541848740764,12007.541848740764
610.0,2,4,0.001483461194585923,0.0005223936031709337,1.2007501025587857,12007.501025587857
685.0,1,4,0.0014321123343961014,0.0001599446897692742,1.2006208283406892,12006.208283406891
140.0,1,4,0.000969493681145686,0.0004805967921267911,1.2005319765100964,12005.319765100963
1208.0,1,4,0.0004961028758825421,0.00020054919045112623,1.2002586059074882,12002.586059074882
540.0,1,4,0.0004484520610536085,0.00019595879836466993,1.2002381684639307,12002.381684639307
165.0,3,4,1.2024037386740248e-05,0.0005389652605537122,1.2001664991931207,12001.664991931208
503.0,1,4,4.5483519201200145e-05,0.0001818641052036713,1.2000727526392416,12000.727526392417
426.0,1,4,0.0,0.00013561735189744357,1.2000406852055692,12000.406852055692
361.0,1,4,0.0,0.00013149016458891672,1.2000394470493767,12000.394470493768
450.0,1,4,0.0,0.00013128545355003978,1.200039385636065,12000.39385636065
166.0,1,4,5.344016616329e-06,0.00011328932355274343,1.2000361244037123,12000.361244037123
1486.0,0,4,0.0,0.0001,1.20003,12000.3
1160.0,13,3,0.21792792773289665,0.004371368631818564,0.9884825816827041,9884.82581682704
1033.0,3,3,0.16717430685805182,0.0010260316138388623,0.9671775322273723,9671.775322273723
1264.0,1,3,0.12739267688272188,0.0016966087625243267,0.951466053381846,9514.66053381846
959.0,1,3,0.033569769664259765,0.0003869939390008865,0.913544006047404,9135.44006047404
981.0,3,3,0.02857200007066904,0.0008305042017342781,0.9116779512887878,9116.779512887879
93.0,1,3,0.02785115882488888,0.0002620665485955251,0.9112190834945342,9112.190834945342
1141.0,2,3,0.022812279766960736,0.00021398388035324733,0.9091891070708902,9091.891070708902
653.0,1,3,0.019718617944560295,0.00015130492944291556,0.9079328386566569,9079.328386566569
1016.0,2,3,0.019527842206401382,0.0002734743319279907,0.9078931791821389,9078.93179182139
992.0,1,3,0.017423302016123583,0.00015364550167872867,0.907015414456953,9070.15414456953
1044.0,1,3,0.01680062388000974,0.0007863875267797954,0.9069561658100378,9069.561658100378
1088.0,1,3,0.014597207188640998,0.00033633714112487966,0.9059397840177937,9059.397840177937
780.0,1,3,0.012411993907312088,0.0005384728424697012,0.9051263394156657,9051.263394156656
220.0,2,3,0.011733233815868344,0.0002462242890189625,0.904767160813053,9047.67160813053
678.0,1,3,0.009572459867672292,0.0003886380092332382,0.9039455753498388,9039.455753498387
771.0,3,3,0.007714684946257212,0.0005895551039164261,0.9032627405096777,9032.627405096777
1082.0,1,3,0.007651638627473878,0.00020911484354903633,0.9031233899040542,9031.233899040542
79.0,20,3,0.0024079873057953802,0.005813691512699885,0.9027073023761281,9027.07302376128
315.0,1,3,0.006096681771430669,0.00036839833115802454,0.9025491922079196,9025.491922079196
1380.0,1,3,0.005042865057531867,0.0002809397147945129,0.902101427937451,9021.014279374509
1043.0,1,3,0.00477280256192723,0.00030895738676496684,0.9020018082408003,9020.018082408003
1019.0,1,3,0.004512080467657439,0.0002443285833933253,0.9018781307620809,9018.78130762081
